Timestamp,Total,Syracuse - Alpha Chi Omega,Syracuse - Alpha Epsilon Phi,Syracuse - Alpha Gamma Delta,Syracuse - Alpha Phi,Syracuse - Alpha Xi Delta,Syracuse - Delta Delta Delta,Syracuse - Delta Gamma,Syracuse - Delta Phi Epsilon,Syracuse - Fall Pledge Class 2025,Syracuse - Gamma Phi Beta,Syracuse - Kappa Alpha Theta,Syracuse - Kappa Kappa Gamma,Syracuse - Phi Sigma Sigma,Syracuse - Sigma Delta Tau
2026-04-12 16:10:03,4413.56,41.20,307.55,0.00,1803.00,0.00,539.25,126.00,100.00,26.00,75.75,0.00,408.50,61.80,0.00
2026-04-12 16:11:04,4513.56,41.20,307.55,0.00,1903.00,0.00,539.25,126.00,100.00,26.00,75.75,0.00,408.50,61.80,0.00
2026-04-12 16:11:34,4538.56,41.20,307.55,0.00,1903.00,0.00,564.25,126.00,100.00,26.00,75.75,0.00,408.50,61.80,0.00
2026-04-12 16:12:04,4564.31,41.20,307.55,0.00,1903.00,0.00,564.25,126.00,100.00,26.00,75.75,0.00,434.25,61.80,0.00
2026-04-12 16:12:35,4767.31,41.20,307.55,0.00,2006.00,0.00,564.25,126.00,100.00,26.00,75.75,0.00,434.25,61.80,100.00
2026-04-12 16:13:05,5073.31,41.20,307.55,0.00,2006.00,0.00,564.25,126.00,100.00,26.00,178.75,0.00,537.25,61.80,100.00
2026-04-12 16:13:35,5329.46,41.20,332.55,0.00,2006.00,5.15,564.25,126.00,100.00,26.00,178.75,0.00,743.25,61.80,100.00
2026-04-12 16:14:05,5714.96,41.20,460.55,0.00,2006.00,5.15,564.25,126.00,100.00,26.00,178.75,0.00,1000.75,61.80,100.00
2026-04-12 16:14:36,6861.61,46.35,460.55,0.00,2006.00,30.15,564.25,626.00,100.00,541.00,230.25,0.00,1050.75,61.80,100.00
2026-04-12 16:15:06,7231.26,146.35,460.55,0.00,2061.15,55.90,640.00,626.00,100.00,644.00,240.25,0.00,1050.75,61.80,100.00
2026-04-12 16:15:37,7537.26,146.35,460.55,0.00,2061.15,55.90,743.00,626.00,203.00,644.00,240.25,0.00,1150.75,61.80,100.00
2026-04-12 16:16:07,8103.76,661.35,486.30,0.00,2061.15,55.90,743.00,651.75,203.00,644.00,240.25,0.00,1150.75,61.80,100.00
2026-04-12 16:16:37,8921.76,712.85,562.80,0.00,2061.15,55.90,1000.50,651.75,203.00,644.00,240.25,0.00,1558.25,61.80,125.00
2026-04-12 16:17:07,9293.36,712.85,562.80,0.00,2061.15,55.90,1194.10,651.75,278.00,644.00,240.25,0.00,1661.25,61.80,125.00
2026-04-12 16:17:38,9329.41,712.85,562.80,0.00,2061.15,66.20,1219.85,651.75,278.00,644.00,240.25,0.00,1661.25,61.80,125.00
2026-04-12 16:18:08,9385.91,712.85,562.80,0.00,2112.65,66.20,1219.85,651.75,283.00,644.00,240.25,0.00,1661.25,61.80,125.00
2026-04-12 16:18:38,10021.20,762.85,581.34,0.00,2112.65,116.20,1255.60,651.75,283.00,644.00,515.25,0.00,1867.25,61.80,125.00
2026-04-12 16:19:08,10472.20,762.85,581.34,0.00,2112.65,117.20,1255.60,651.75,283.00,694.00,515.25,0.00,2267.25,61.80,125.00
2026-04-12 16:19:39,10731.70,762.85,581.34,0.00,2112.65,122.20,1358.60,803.25,283.00,694.00,515.25,0.00,2267.25,61.80,125.00
2026-04-12 16:20:09,11393.70,762.85,581.34,0.00,2112.65,122.20,1358.60,803.25,489.00,797.00,765.25,0.00,2370.25,61.80,125.00
2026-04-12 16:20:39,11572.70,768.85,581.34,0.00,2112.65,122.20,1358.60,803.25,489.00,797.00,815.25,0.00,2370.25,184.80,125.00
2026-04-12 16:21:09,12312.20,768.85,581.34,0.00,2112.65,122.20,1358.60,854.75,489.00,920.00,815.25,0.00,2935.25,184.80,125.00
2026-04-12 16:21:40,12542.45,768.85,581.34,103.00,2112.65,122.20,1358.60,854.75,489.00,920.00,815.25,0.00,3062.50,184.80,125.00
2026-04-12 16:22:10,12619.70,768.85,581.34,103.00,2112.65,147.95,1384.35,854.75,489.00,920.00,815.25,0.00,3088.25,184.80,125.00
2026-04-12 16:22:40,12747.70,793.85,581.34,103.00,2112.65,147.95,1487.35,854.75,489.00,920.00,815.25,0.00,3088.25,184.80,125.00
2026-04-12 16:23:10,13515.70,793.85,601.34,103.00,2627.65,147.95,1487.35,854.75,494.00,1023.00,840.25,0.00,3188.25,184.80,125.00
2026-04-12 16:23:40,13643.70,793.85,704.34,103.00,2652.65,147.95,1487.35,854.75,494.00,1023.00,840.25,0.00,3188.25,184.80,125.00
2026-04-12 16:24:11,14288.73,819.60,729.34,103.00,2679.43,147.95,2002.35,854.75,495.00,1023.00,866.00,0.00,3188.25,210.55,125.00
2026-04-12 16:24:41,14543.23,922.60,729.34,103.00,2729.43,147.95,2002.35,904.75,495.00,1023.00,866.00,0.00,3188.25,210.55,125.00
2026-04-12 16:25:11,14767.58,973.35,729.34,103.00,2729.43,147.95,2002.35,904.75,495.00,1126.00,936.60,0.00,3188.25,210.55,125.00
2026-04-12 16:25:41,15178.09,1076.35,729.34,103.00,2729.43,147.95,2002.35,904.76,495.00,1177.50,936.60,0.00,3291.25,338.55,150.00
2026-04-12 16:26:12,15781.19,1201.35,729.34,103.00,2857.43,250.95,2012.65,956.26,495.00,1177.50,996.90,0.00,3341.25,413.55,150.00
2026-04-12 16:26:42,16727.84,1201.35,729.34,154.50,2857.43,375.95,2321.65,956.26,495.00,1383.50,996.90,0.00,3346.40,413.55,400.00
2026-04-12 16:27:12,19260.34,1201.35,729.34,154.50,2960.43,375.95,2321.65,1031.26,595.00,1486.50,996.90,2000.00,3497.90,413.55,400.00
2026-04-12 16:27:42,19619.34,1201.35,729.34,154.50,3063.43,400.95,2321.65,1031.26,595.00,1486.50,1021.90,2000.00,3600.90,413.55,503.00
2026-04-12 16:28:13,19832.64,1201.35,754.34,154.50,3093.58,406.10,2321.65,1031.26,595.00,1486.50,1021.90,2000.00,3703.90,413.55,553.00
2026-04-12 16:28:43,20810.39,1277.85,805.84,154.50,3634.33,406.10,2424.65,1031.26,595.00,1692.50,1021.90,2000.00,3703.90,413.55,553.00
2026-04-12 16:29:13,21164.64,1277.85,841.84,154.50,3891.83,431.85,2424.65,1031.26,620.00,1692.50,1031.90,2000.00,3703.90,413.55,553.00
2026-04-12 16:29:43,21441.14,1277.85,941.84,154.50,3943.33,431.85,2424.65,1031.26,620.00,1692.50,1031.90,2000.00,3828.90,413.55,553.00
2026-04-12 16:30:14,21912.59,1277.85,941.84,154.50,4046.33,431.85,2690.10,1031.26,620.00,1795.50,1031.90,2000.00,3828.90,413.55,553.00
2026-04-12 16:30:44,22017.59,1277.85,961.84,154.50,4046.33,431.85,2690.10,1031.26,620.00,1805.50,1081.90,2000.00,3853.90,413.55,553.00
2026-04-12 16:31:14,22561.14,1277.85,961.84,154.50,4046.33,431.85,2690.10,1031.26,620.00,1815.80,1181.90,2000.00,4159.90,490.80,553.00
2026-04-12 16:31:44,22998.89,1277.85,961.84,154.50,4046.33,431.85,2715.85,1031.26,620.00,1815.80,1233.40,2000.00,4314.40,490.80,553.00
2026-04-12 16:32:15,23531.89,1277.85,966.84,154.50,4071.33,531.85,2715.85,1031.26,620.00,1968.80,1283.40,2000.00,4514.40,490.80,553.00
2026-04-12 16:32:45,23557.64,1277.85,966.84,154.50,4071.33,531.85,2715.85,1031.26,620.00,1968.80,1309.15,2000.00,4514.40,490.80,553.00
2026-04-12 16:33:15,23837.89,1277.85,966.84,154.50,4197.08,531.85,2715.85,1031.26,620.00,1968.80,1412.15,2000.00,4565.90,490.80,553.00
2026-04-12 16:33:45,25123.59,1277.85,966.84,229.50,4197.08,581.85,2793.10,1031.26,620.00,2458.05,1587.90,2050.00,4831.35,490.80,553.00
2026-04-12 16:34:16,26527.59,1277.85,966.84,229.50,4197.08,582.85,2793.10,1031.26,620.00,2458.05,1587.90,2050.00,5184.35,490.80,1603.00
2026-04-12 16:34:46,27366.34,1329.35,966.84,229.50,4222.08,832.85,2793.10,1134.26,620.00,2458.05,1688.90,2050.00,5235.10,490.80,1603.00
2026-04-12 16:35:16,27571.34,1329.35,966.84,229.50,4222.08,832.85,2793.10,1159.26,625.00,2558.05,1688.90,2050.00,5235.10,490.80,1678.00
2026-04-12 16:35:46,27790.54,1329.35,966.84,229.50,4272.83,832.85,2793.10,1159.26,625.00,2573.50,1688.90,2050.00,5285.10,490.80,1781.00
2026-04-12 16:36:16,28059.37,1329.35,966.84,229.50,4272.83,832.85,2804.43,1159.26,625.00,2573.50,1688.90,2050.00,5542.60,490.80,1781.00
2026-04-12 16:36:47,28417.37,1329.35,966.84,229.50,4272.83,832.85,2904.43,1262.26,625.00,2573.50,1718.90,2050.00,5642.60,490.80,1806.00
2026-04-12 16:37:17,28742.37,1329.35,1066.84,229.50,4272.83,832.85,2904.43,1262.26,625.00,2773.50,1718.90,2050.00,5667.60,490.80,1806.00
2026-04-12 16:37:47,28790.82,1329.35,1066.84,229.50,4272.83,832.85,2929.43,1262.26,625.00,2773.50,1742.35,2050.00,5667.60,490.80,1806.00
2026-04-12 16:38:17,30105.57,1432.35,1066.84,229.50,4483.83,832.85,2929.43,1262.26,650.75,2798.50,2042.35,2050.00,6317.60,490.80,1806.00
2026-04-12 16:38:48,30387.32,1432.35,1066.84,229.50,4509.58,832.85,2929.43,1262.26,650.75,2798.50,2298.35,2050.00,6317.60,490.80,1806.00
2026-04-12 16:39:18,31103.07,1432.35,1066.84,229.50,4921.58,882.85,2929.43,1262.26,750.75,2849.25,2401.35,2050.00,6317.60,490.80,1806.00
2026-04-12 16:39:48,31606.07,1432.35,1066.84,229.50,5021.58,982.85,2929.43,1362.26,800.75,2849.25,2401.35,2050.00,6317.60,490.80,1856.00
2026-04-12 16:40:18,31764.07,1432.35,1066.84,229.50,5021.58,982.85,2929.43,1362.26,800.75,2950.75,2457.85,2050.00,6317.60,490.80,1856.00
2026-04-12 16:40:49,32025.07,1432.35,1066.84,229.50,5071.58,982.85,2929.43,1362.26,800.75,2950.75,2457.85,2055.00,6523.60,490.80,1856.00
2026-04-12 16:41:19,32782.07,1432.35,1066.84,229.50,5071.58,982.85,2929.43,1362.26,800.75,3597.75,2457.85,2055.00,6623.60,500.80,1856.00
2026-04-12 16:41:49,33356.57,1432.35,1118.34,229.50,5071.58,982.85,2929.43,1412.26,800.75,3617.75,2457.85,2055.00,6826.60,500.80,2006.00
2026-04-12 16:42:19,33661.82,1458.10,1118.34,229.50,5276.08,982.85,2929.43,1412.26,800.75,3667.75,2457.85,2055.00,6851.60,500.80,2006.00
2026-04-12 16:42:50,33872.97,1458.10,1118.34,229.50,5276.08,982.85,2929.43,1515.26,800.75,3775.90,2457.85,2055.00,6851.60,500.80,2006.00
2026-04-12 16:43:50,34380.47,1483.10,1118.34,279.50,5276.08,982.85,2929.43,1566.76,800.75,3981.90,2457.85,2055.00,7026.60,500.80,2006.00
2026-04-12 16:44:20,34543.47,1483.10,1118.34,279.50,5281.08,982.85,2929.43,1566.76,800.75,4084.90,2457.85,2055.00,7031.60,500.80,2056.00
2026-04-12 16:44:50,34696.47,1483.10,1118.34,279.50,5281.08,982.85,2929.43,1669.76,800.75,4084.90,2457.85,2055.00,7031.60,500.80,2106.00
2026-04-12 16:45:21,35857.97,1483.10,1118.34,279.50,5543.58,982.85,2929.43,1719.76,800.75,4109.90,2972.85,2055.00,7340.60,500.80,2106.00
2026-04-12 16:45:51,37033.97,1637.60,1118.34,279.50,5563.58,982.85,3679.43,1719.76,825.75,4130.50,2972.85,2055.00,7440.60,606.70,2106.00
2026-04-12 16:46:21,37674.72,1637.60,1118.34,279.50,5563.58,1008.60,3679.43,2234.76,825.75,4230.50,2972.85,2055.00,7440.60,606.70,2106.00
2026-04-12 16:46:51,37839.52,1637.60,1118.34,279.50,5589.33,1008.60,3679.43,2234.76,825.75,4333.50,2983.15,2055.00,7440.60,632.45,2106.00
2026-04-12 16:47:22,38173.52,1637.60,1118.34,279.50,5614.33,1060.10,3679.43,2234.76,825.75,4333.50,2983.15,2312.50,7440.60,632.45,2106.00
2026-04-12 16:47:52,38343.97,1637.60,1118.34,379.50,5614.33,1060.10,3679.43,2234.76,875.75,4338.50,2983.15,2312.50,7440.60,647.90,2106.00
2026-04-12 16:48:22,39217.12,2152.60,1118.34,379.50,5665.83,1060.10,3679.43,2234.76,875.75,4338.50,2988.30,2312.50,7492.10,647.90,2106.00
2026-04-12 16:48:52,39387.07,2152.60,1118.34,379.50,5665.83,1060.10,3730.93,2234.76,875.75,4456.95,2988.30,2312.50,7492.10,647.90,2106.00
2026-04-12 16:49:23,40587.85,2152.60,1118.34,379.50,5665.83,1060.10,4245.93,2234.76,875.75,4556.95,3298.33,2312.50,7692.10,723.65,2106.00
2026-04-12 16:49:53,40874.60,2152.60,1221.34,379.50,5665.83,1060.10,4250.93,2234.76,875.75,4659.95,3298.33,2338.25,7692.10,773.65,2106.00
2026-04-12 16:50:23,41056.10,2329.10,1221.34,379.50,5665.83,1060.10,4250.93,2234.76,880.75,4659.95,3298.33,2338.25,7692.10,773.65,2106.00
2026-04-12 16:50:53,41606.10,2329.10,1221.34,379.50,5665.83,1060.10,4450.93,2234.76,880.75,4659.95,3398.33,2588.25,7692.10,773.65,2106.00
2026-04-12 16:51:23,42298.35,2329.10,1272.84,379.50,5716.58,1060.10,4450.93,2286.26,880.75,5020.45,3398.33,2588.25,7742.10,773.65,2234.00
2026-04-12 16:51:54,43248.30,2329.10,1272.84,379.50,5819.58,1070.10,4471.38,2286.26,880.75,5270.45,3449.83,2588.25,8257.10,773.65,2234.00
2026-04-12 16:52:24,43279.45,2329.10,1272.84,379.50,5819.58,1070.10,4471.38,2291.41,880.75,5270.45,3449.83,2588.25,8258.10,798.65,2234.00
2026-04-12 16:52:54,43732.45,2380.60,1272.84,379.50,5819.58,1070.10,4471.38,2291.41,932.25,5570.45,3449.83,2588.25,8308.10,798.65,2234.00
2026-04-12 16:53:24,43990.90,2380.60,1272.84,379.50,5819.58,1072.10,4702.38,2291.41,937.40,5575.60,3454.98,2588.25,8308.10,808.65,2234.00
2026-04-12 16:53:54,44196.90,2380.60,1272.84,379.50,5819.58,1072.10,4753.88,2291.41,937.40,5575.60,3454.98,2588.25,8462.60,808.65,2234.00
2026-04-12 16:54:25,44468.05,2380.60,1272.84,379.50,5819.58,1122.10,4753.88,2342.91,937.40,5688.60,3460.13,2588.25,8488.35,834.40,2234.00
2026-04-12 16:54:55,44493.80,2380.60,1272.84,379.50,5819.58,1122.10,4779.63,2342.91,937.40,5688.60,3460.13,2588.25,8488.35,834.40,2234.00
2026-04-12 16:55:25,44545.30,2380.60,1272.84,379.50,5871.08,1122.10,4779.63,2342.91,937.40,5688.60,3460.13,2588.25,8488.35,834.40,2234.00
2026-04-12 16:55:55,44673.60,2380.60,1272.84,379.50,5871.08,1132.25,4779.63,2342.91,937.40,5688.60,3465.28,2588.25,8601.35,834.40,2234.00
2026-04-12 16:56:26,45027.35,2480.60,1272.84,379.50,5871.08,1132.25,4779.63,2394.41,988.90,5788.60,3465.28,2588.25,8601.35,885.15,2234.00
2026-04-12 16:56:56,45560.60,2530.60,1298.59,379.50,5871.08,1132.25,4779.63,2394.41,1091.90,5788.60,3516.78,2588.25,8801.35,885.15,2234.00
2026-04-12 16:57:26,45804.80,2633.60,1298.59,379.50,5871.08,1132.25,4805.38,2394.41,1141.90,5788.60,3516.78,2588.25,8801.35,950.60,2234.00
2026-04-12 16:57:56,46205.30,2633.60,1416.59,379.50,6128.58,1132.25,4805.38,2394.41,1141.90,5788.60,3516.78,2588.25,8826.35,950.60,2234.00
2026-04-12 16:58:27,46378.60,2633.60,1544.59,379.50,6128.58,1132.25,4805.38,2419.41,1151.90,5788.60,3516.78,2588.25,8826.35,960.90,2234.00
2026-04-12 16:58:57,46635.10,2633.60,1724.59,379.50,6180.08,1132.25,4805.38,2419.41,1151.90,5813.60,3516.78,2588.25,8826.35,960.90,2234.00
2026-04-12 16:59:27,47209.40,2633.60,1724.59,379.50,6180.08,1132.25,4805.38,2419.41,1151.90,6078.90,3516.78,2588.25,9083.85,960.90,2234.00
2026-04-12 16:59:57,47430.10,2633.60,1724.59,379.50,6180.08,1132.25,4856.88,2444.41,1177.65,6181.90,3516.78,2588.25,9083.85,976.35,2234.00
2026-04-12 17:00:28,47531.60,2633.60,1724.59,379.50,6180.08,1132.25,4856.88,2444.41,1177.65,6206.90,3541.78,2588.25,9083.85,1027.85,2234.00
2026-04-12 17:00:58,47660.35,2633.60,1750.34,379.50,6180.08,1132.25,4856.88,2444.41,1177.65,6206.90,3541.78,2588.25,9135.35,1027.85,2234.00
2026-04-12 17:01:28,47948.00,2633.60,1750.34,379.50,6180.08,1132.25,4856.88,2444.41,1177.65,6206.90,3546.93,2845.75,9160.35,1027.85,2234.00
2026-04-12 17:01:58,48009.00,2633.60,1750.34,379.50,6180.08,1132.25,4856.88,2444.41,1213.65,6231.90,3546.93,2845.75,9160.35,1027.85,2234.00
2026-04-12 17:02:29,48390.75,2633.60,1750.34,379.50,6333.08,1132.25,4856.88,2444.41,1213.65,6334.90,3572.68,2845.75,9260.35,1027.85,2234.00
2026-04-12 17:02:59,49588.90,3663.60,1750.34,379.50,6436.08,1132.25,4856.88,2444.41,1218.80,6334.90,3622.68,2845.75,9270.35,1027.85,2234.00
2026-04-12 17:03:29,49593.90,3663.60,1750.34,379.50,6436.08,1132.25,4856.88,2444.41,1218.80,6334.90,3622.68,2845.75,9270.35,1032.85,2234.00
2026-04-12 17:03:59,49971.65,3663.60,1750.34,379.50,6436.08,1132.25,4856.88,2444.41,1218.80,6334.90,3724.68,2845.75,9270.35,1032.85,2484.00
2026-04-12 17:04:29,50930.65,4163.60,1750.34,379.50,6461.08,1132.25,4856.88,2444.41,1218.80,6334.90,3749.68,2845.75,9679.35,1032.85,2484.00
2026-04-12 17:05:00,51591.15,4163.60,1750.34,379.50,6561.08,1132.25,4856.88,2544.41,1218.80,6334.90,3749.68,2845.75,9679.35,1135.85,2484.00
2026-04-12 17:05:30,51711.60,4163.60,1750.34,379.50,6661.08,1132.25,4861.88,2549.56,1229.10,6334.90,3749.68,2845.75,9679.35,1135.85,2484.00
2026-04-12 17:06:00,51811.60,4163.60,1750.34,379.50,6661.08,1132.25,4861.88,2549.56,1229.10,6334.90,3749.68,2845.75,9729.35,1135.85,2484.00
2026-04-12 17:06:31,51973.10,4163.60,1750.34,379.50,6661.08,1132.25,4861.88,2549.56,1229.10,6360.65,3749.68,2845.75,9865.10,1135.85,2484.00
2026-04-12 17:07:01,52614.30,4163.60,1765.79,379.50,6661.08,1132.25,4861.88,2549.56,1229.10,6360.65,4249.68,2845.75,9990.85,1135.85,2484.00
2026-04-12 17:07:31,52844.55,4163.60,1765.79,379.50,6712.58,1132.25,4861.88,2549.56,1254.85,6436.40,4249.68,2845.75,10016.60,1135.85,2484.00
2026-04-12 17:08:01,53060.10,4163.60,1765.79,379.50,6712.58,1132.25,4861.88,2601.06,1254.85,6436.40,4285.73,2845.75,10016.60,1135.85,2484.00
2026-04-12 17:08:32,53677.63,4163.60,1765.79,379.50,6764.08,1132.25,4861.88,2601.06,1254.85,6436.40,4286.76,2845.75,10581.60,1135.85,2484.00
2026-04-12 17:09:02,53767.78,4163.60,1765.79,379.50,6774.08,1132.25,4861.88,2601.06,1254.85,6486.40,4311.76,2845.75,10581.60,1141.00,2484.00
2026-04-12 17:09:32,53803.53,4163.60,1765.79,379.50,6774.08,1158.00,4861.88,2601.06,1254.85,6486.40,4321.76,2845.75,10581.60,1141.00,2484.00
2026-04-12 17:10:03,54008.03,4265.10,1765.79,379.50,6774.08,1158.00,4861.88,2601.06,1254.85,6486.40,4321.76,2845.75,10633.10,1192.50,2484.00
2026-04-12 17:10:33,54108.18,4265.10,1765.79,379.50,6799.08,1158.00,4861.88,2601.06,1310.00,6486.40,4341.76,2845.75,10633.10,1192.50,2484.00
2026-04-12 17:11:03,54261.93,4290.85,1765.79,379.50,6824.08,1158.00,4861.88,2601.06,1310.00,6486.40,4341.76,2845.75,10633.10,1192.50,2587.00
2026-04-12 17:11:33,54364.93,4290.85,1765.79,379.50,6824.08,1158.00,4861.88,2601.06,1310.00,6589.40,4341.76,2845.75,10633.10,1192.50,2587.00
2026-04-12 17:12:04,55317.93,4290.85,1765.79,379.50,7324.08,1158.00,4861.88,2601.06,1310.00,6692.40,4341.76,2845.75,10733.10,1192.50,2837.00
2026-04-12 17:12:34,55348.68,4290.85,1765.79,379.50,7324.08,1158.00,4861.88,2601.06,1315.00,6692.40,4341.76,2845.75,10733.10,1192.50,2862.75
2026-04-12 17:13:04,55489.88,4290.85,1765.79,379.50,7324.08,1199.20,4861.88,2601.06,1315.00,6692.40,4341.76,2845.75,10833.10,1192.50,2862.75
2026-04-12 17:13:34,55534.88,4300.85,1765.79,379.50,7334.08,1199.20,4861.88,2601.06,1315.00,6692.40,4341.76,2845.75,10833.10,1192.50,2887.75
2026-04-12 17:14:05,55715.13,4300.85,1765.79,379.50,7334.08,1199.20,4861.88,2601.06,1315.00,6692.40,4341.76,2845.75,10936.10,1269.75,2887.75
2026-04-12 17:14:35,55993.43,4300.85,1765.79,379.50,7334.08,1199.20,4861.88,2601.06,1350.30,6732.40,4441.76,2845.75,10936.10,1269.75,2887.75
2026-04-12 17:15:05,56044.93,4300.85,1765.79,379.50,7334.08,1199.20,4861.88,2652.56,1350.30,6732.40,4441.76,2845.75,10936.10,1269.75,2887.75
2026-04-12 17:16:06,56347.93,4300.85,1765.79,379.50,7484.08,1199.20,4861.88,2652.56,1350.30,6732.40,4544.76,2845.75,10936.10,1319.75,2887.75
2026-04-12 17:16:36,56610.43,4300.85,1765.79,379.50,7484.08,1199.20,4861.88,2652.56,1355.30,6732.40,4802.26,2845.75,10936.10,1319.75,2887.75
2026-04-12 17:17:37,56867.93,4300.85,1765.79,379.50,7484.08,1199.20,4964.88,2652.56,1355.30,6732.40,4802.26,2845.75,11039.10,1371.25,2887.75
2026-04-12 17:18:07,57172.43,4300.85,1765.79,379.50,7535.58,1250.70,4964.88,2652.56,1355.30,6732.40,4853.76,2845.75,11039.10,1371.25,2887.75
2026-04-12 17:18:37,57496.03,4300.85,1765.79,379.50,7685.58,1250.70,4964.88,2755.56,1365.60,6732.40,4914.06,2845.75,11039.10,1371.25,2887.75
2026-04-12 17:19:07,57511.33,4300.85,1765.79,379.50,7685.58,1250.70,4964.88,2755.56,1370.60,6732.40,4924.36,2845.75,11039.10,1371.25,2887.75
2026-04-12 17:19:37,57768.83,4300.85,1765.79,379.50,7685.58,1250.70,4964.88,2755.56,1370.60,6732.40,4924.36,2845.75,11296.60,1371.25,2887.75
2026-04-12 17:20:08,57939.51,4300.85,1765.79,379.50,7695.58,1250.70,4964.88,2755.56,1371.63,6783.90,5032.51,2845.75,11296.60,1371.25,2887.75
2026-04-12 17:20:38,58057.66,4300.85,1775.79,379.50,7695.58,1250.70,4964.88,2755.56,1371.63,6783.90,5032.51,2845.75,11404.75,1371.25,2887.75
2026-04-12 17:21:08,58436.41,4300.85,1775.79,379.50,7695.58,1250.70,4964.88,2855.56,1371.63,6783.90,5082.51,2845.75,11633.50,1371.25,2887.75
2026-04-12 17:21:38,58439.50,4300.85,1775.79,379.50,7695.58,1250.70,4964.88,2855.56,1371.63,6783.90,5082.51,2848.84,11633.50,1371.25,2887.75
2026-04-12 17:22:09,58699.06,4300.85,1775.79,379.50,7695.58,1252.76,4964.88,2855.56,1371.63,6783.90,5082.51,2848.84,11633.50,1371.25,2887.75
2026-04-12 17:22:39,59277.56,4403.85,1837.29,379.50,7695.58,1257.76,4964.88,2907.06,1371.63,7041.40,5082.51,2948.84,11633.50,1371.25,2887.75
